ID	MA1	MA4	MA6	MA7	MA13	MA26	MA34	Y5	Y7	Y8	Y9	Y13
4.90_329.2108m/z	88369.24803	125130.951	74784.88553	66934.66213	88670.34243	127101.8733	157998.8049	132210.9196	124340.3129	144992.2104	215356.9276	209370.1708
8.10_425.3405m/z	172904.9616	276768.7512	115860.1097	95748.94162	155742.0056	144812.5365	131292.2962	70801.25178	51648.31244	99964.81397	62026.54445	68831.88264
8.51_459.3464m/z	1519186.073	1904216.546	1457874.358	1704959.436	1836774.975	1564644.519	1787660.648	1006639.978	882749.6604	1024907.957	888608.799	1104186.908
1.49_154.0497m/z	32757.73994	65086.4617	129989.8293	40291.07025	124292.809	68550.64948	151332.3927	291138.2787	386542.4695	141857.2123	131824.9308	213191.4292
1.21_382.1490m/z	911.6148361	1.27646E-06	3679.481252	383.3095088	1.27646E-06	296.9292866	1.27646E-06	27803.63394	164493.7142	57886.05922	85085.77826	50957.37084
0.72_134.0812m/z	119808.2133	82178.06795	158925.0322	78550.35374	123662.0738	128306.0929	163285.3032	181604.4005	175904.0379	138461.9508	301117.5794	195290.2811
7.99_331.2262m/z	1269385.171	851646.6749	1200931.735	974714.3806	2017616.508	761906.1284	1137353.377	1465759.619	1857386.395	1948286.537	1829037.624	2523529.782
2.38_297.1209n	7292229.961	2871838.796	11690431.71	9942218.97	4923644.282	4216612.865	9787239.012	11260118.08	7240180.61	11897113.73	11323998.85	16246651.07
3.88_207.0530n	3927063.18	10110647.56	25937441.66	16459246.36	17118228.56	10765047.21	25578433.2	23646343.49	22820804.61	23674832.9	22525877.44	29664759.66
0.78_164.0472n	5220789.743	3201106.79	5139517.314	5778565.951	3214266.697	2856152.215	4775835.458	5821941.019	4806820.338	5092063.207	6301232.518	8047594.725
